State,2028,2030,2035,2040,2045,2050,2055
District of Columbia,4.50%,5.00%,7.00%,9.50%,10.00%,10.00%,10.00%
Delaware,4.25%,5.00%,10.00%,10.00%,10.00%,10.00%,10.00%
Illinois,1.50%,1.50%,1.50%,1.50%,1.50%,1.50%,1.50%
Maryland,14.50%,14.50%,14.50%,14.50%,14.50%,14.50%,14.50%
Minnesota,1.50%,1.50%,1.50%,1.50%,1.50%,1.50%,1.50%
Missouri,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%
North Carolina,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%
New Hampshire,0.70%,0.70%,0.70%,0.70%,0.70%,0.70%,0.70%
New Jersey,3.74%,2.21%,1.10%,1.10%,1.10%,1.10%,1.10%
Oregon,8.00%,8.00%,8.00%,8.00%,8.00%,8.00%,8.00%
Pennsylvania,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%