IPM Region,Bound (MW) Step 1,Bound (MW) Step 2,Bound (MW) Step 3,Bound (MW) Step 4,Reserve Margin Contribution (%) Step 1,Reserve Margin Contribution (%) Step 2,Reserve Margin Contribution (%) Step 3,Reserve Margin Contribution (%) Step 4
ERC_PHDL,0,"1,748",418,NA,100%,100%,0%,0%
ERC_REST,0,"17,683","2,826",NA,100%,100%,0%,0%
ERC_WEST,0,"1,745",418,NA,100%,100%,0%,0%
FRCC,"9,139","14,190",448,NA,100%,100%,0%,0%
MIS_AMSO,301,572,768,NA,100%,100%,0%,0%
MIS_AR,482,727,"1,870",NA,100%,100%,21%,0%
MIS_IA,419,789,270,NA,100%,100%,0%,0%
MIS_IL,"1,775","2,130",87,NA,100%,100%,0%,0%
MIS_INKY,"1,449","3,190",193,NA,100%,100%,0%,0%
MIS_LA,698,721,"1,601",NA,100%,100%,0%,0%
MIS_LMI,"2,778","3,188","2,725",NA,100%,100%,0%,0%
MIS_MAPP,229,337,102,NA,100%,100%,0%,0%
MIS_MIDA,961,562,513,NA,100%,100%,0%,0%
MIS_MNWI,"3,544","3,107",375,NA,100%,100%,0%,0%
MIS_MO,688,"1,360",254,NA,100%,100%,0%,0%
MIS_MS,394,638,781,NA,100%,100%,0%,0%
MIS_WOTA,"1,383",443,815,NA,100%,100%,0%,0%
MIS_WUMS,"1,331","1,546","1,532",NA,100%,100%,0%,0%
NENG_CT,"1,061","1,053","1,098",NA,100%,100%,0%,0%
NENG_ME,339,568,145,NA,100%,100%,0%,0%
NENGREST,"4,475","2,826",512,NA,100%,100%,0%,0%
NY_Z_A_B,711,652,52,NA,100%,100%,0%,0%
NY_Z_C,308,308,180,NA,100%,100%,0%,0%
NY_Z_D&E,"1,197","1,395",0,NA,100%,100%,0%,0%
NY_Z_D,37,116,28,NA,100%,100%,0%,0%
NY_Z_F,723,425,178,NA,100%,100%,0%,0%
NY_Z_G-I,393,624,817,NA,100%,100%,0%,0%
NY_Z_J,72,"2,303","1,029",NA,100%,100%,0%,0%
NY_Z_K,907,750,411,NA,100%,100%,0%,0%
PJM_AP,735,"1,013",438,NA,100%,100%,0%,0%
PJM_ATSI,"1,729","2,131","1,519",NA,100%,100%,0%,0%
PJM_COMD,"2,168","4,290","2,214",NA,100%,100%,0%,0%
PJM_Dom,568,"1,086","3,531",NA,100%,100%,37%,0%
PJM_EMAC,"5,176","4,780","3,714",NA,100%,100%,0%,0%
PJM_PENE,394,525,219,NA,100%,100%,0%,0%
PJM_SMAC,"1,347","2,013","1,038",NA,100%,100%,0%,0%
PJM_West,"4,185",746,"3,192",NA,100%,100%,0%,0%
PJM_WMAC,738,"1,541",229,NA,100%,100%,0%,0%
S_C_KY,517,"1,444",609,NA,100%,100%,0%,0%
S_C_TVA,"1,648","1,308","3,790",NA,100%,100%,17%,0%
S_D_AECI,523,385,189,NA,100%,100%,0%,0%
S_SOU,"5,430","3,196","8,523",NA,100%,100%,9%,0%
S_VACA,"5,503","3,259","4,997",NA,100%,100%,0%,0%
SPP_N,873,"4,449",702,NA,100%,100%,0%,0%
SPP_NEBR,356,"1,569",363,NA,100%,100%,0%,0%
SPP_SPS,100,"1,350",465,NA,100%,100%,0%,0%
SPP_WAUE,378,251,180,NA,100%,100%,0%,0%
WECC_BANC,508,"5,762",953,NA,100%,100%,0%,0%
WECC_BANC,968,519,152,NA,100%,100%,0%,0%
WECC_CALN,"10,263","3,993","5,216",NA,100%,100%,0%,0%
WECC_LADW,"2,768","3,126",418,NA,100%,100%,0%,0%
WECC_SDGE,"1,052","1,146",198,NA,100%,100%,0%,0%
WECC_AZ,"5,784","3,206","1,079",NA,100%,100%,0%,0%
WECC_CO,"2,236","3,750",577,NA,100%,100%,0%,0%
WECC_ID,"1,224",794,171,NA,100%,100%,0%,0%
WECC_IE,0,593,0,NA,100%,100%,0%,0%
WECC_MT,324,251,179,NA,100%,100%,0%,0%
WECC_NM,"1,301","1,553","1,106",NA,100%,100%,0%,0%
WECC_NNV,706,"1,056",269,NA,100%,100%,0%,0%
WECC_PNW,"3,393","4,613","1,411",NA,100%,100%,0%,0%
WECC_SCE,"7,759","5,768","2,725",NA,100%,100%,0%,0%
WECC_SNV,119,"1,416","2,022",NA,100%,100%,0%,0%
WECC_UT,"2,145",847,517,NA,100%,100%,0%,0%
WECC_WY,"1,186",367,189,NA,100%,100%,0%,0%
CN_AB,964,964,"1,151",NA,100%,100%,0%,0%
CN_BC,952,"1,073","2,040",NA,100%,100%,11%,0%
CN_MB,341,218,494,NA,100%,100%,7%,0%
CN_NB,182,90,145,NA,100%,100%,0%,0%
CN_NF,81,88,96,NA,100%,100%,0%,0%
CN_NL,184,137,173,NA,100%,100%,0%,0%
CN_NS,227,339,36,NA,100%,100%,0%,0%
CN_ON,"1,266","4,558","2,880",NA,100%,100%,0%,0%
CN_PE,58,71,21,NA,100%,100%,0%,0%
CN_PQ,"5,687",776,"2,585",NA,100%,100%,0%,0%
CN_SK,224,178,238,NA,100%,100%,0%,0%